Country Name,Country Code,Region,IncomeGroup,Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
Afghanistan,AFG,South Asia,Low income,2018,,,,19363000000.00,520.90,,47.90,,56.94,1.54
Afghanistan,AFG,South Asia,Low income,2017,33.21,6.58,,20191800000.00,556.30,13.50,49.50,64.13,55.60,1.56
Afghanistan,AFG,South Asia,Low income,2016,33.98,6.74,,19362600000.00,547.23,11.20,51.20,63.76,54.20,1.63
Afghanistan,AFG,South Asia,Low income,2015,34.81,6.93,,19907100000.00,578.47,8.26,53.10,63.38,52.71,1.68
Afghanistan,AFG,South Asia,Low income,2014,35.71,7.14,,20484900000.00,613.86,7.00,55.10,62.97,51.11,1.74
Afghanistan,AFG,South Asia,Low income,2013,36.67,7.38,,20561100000.00,637.17,5.90,57.30,62.53,49.43,1.73
Afghanistan,AFG,South Asia,Low income,2012,37.69,7.65,,20001600000.00,641.87,5.45,59.50,62.05,47.73,1.69
Afghanistan,AFG,South Asia,Low income,2011,38.75,7.94,,17804300000.00,591.16,5.00,61.90,61.55,46.13,1.98
Afghanistan,AFG,South Asia,Low income,2010,39.83,8.25,,15856600000.00,543.30,4.00,64.30,61.03,44.70,2.28
Afghanistan,AFG,South Asia,Low income,2009,40.90,8.58,,12439100000.00,438.08,3.55,66.80,60.48,43.49,2.47
Afghanistan,AFG,South Asia,Low income,2008,41.95,8.93,,10109200000.00,364.66,1.84,69.40,59.93,42.46,2.49
Afghanistan,AFG,South Asia,Low income,2007,42.94,9.29,,9747890000.00,359.69,1.90,72.00,59.38,41.51,2.13
Afghanistan,AFG,South Asia,Low income,2006,43.87,9.65,,6971290000.00,263.73,2.11,74.70,58.83,40.49,2.83
Afghanistan,AFG,South Asia,Low income,2005,44.72,10.00,,6209140000.00,242.03,1.22,77.40,58.29,39.30,2.94
Afghanistan,AFG,South Asia,Low income,2004,45.51,10.36,,5226780000.00,211.38,0.11,80.10,57.77,37.87,3.09
Afghanistan,AFG,South Asia,Low income,2003,46.23,10.70,,4515560000.00,190.68,0.09,82.80,57.27,36.27,3.42
Afghanistan,AFG,South Asia,Low income,2002,46.90,11.05,,4055180000.00,179.43,0.00,85.40,56.78,34.62,3.55
Afghanistan,AFG,South Asia,Low income,2001,47.51,11.39,,,,0.00,88.00,56.31,33.10,3.43
Afghanistan,AFG,South Asia,Low income,2000,48.02,11.72,,,,,90.60,55.84,31.83,3.52
Afghanistan,AFG,South Asia,Low income,1999,48.42,12.04,,,,,93.10,55.38,30.90,3.61
Afghanistan,AFG,South Asia,Low income,1998,48.69,12.35,,,,,95.70,54.91,30.23,3.54
Afghanistan,AFG,South Asia,Low income,1997,48.83,12.66,,,,,98.40,54.42,29.65,3.60
Afghanistan,AFG,South Asia,Low income,1996,48.87,12.96,,,,,101.10,53.92,28.88,3.62
Afghanistan,AFG,South Asia,Low income,1995,48.84,13.28,,,,,104.00,53.40,27.74,3.65
Afghanistan,AFG,South Asia,Low income,1994,48.77,13.62,,,,,107.10,52.84,26.16,3.61
Afghanistan,AFG,South Asia,Low income,1993,48.72,13.97,,,,,110.40,52.26,24.23,3.46
Afghanistan,AFG,South Asia,Low income,1992,48.71,14.36,,,,,113.70,51.64,22.19,3.17
Afghanistan,AFG,South Asia,Low income,1991,48.76,14.78,,,,,117.30,51.00,20.37,2.98
Afghanistan,AFG,South Asia,Low income,1990,48.88,15.24,,,,0.00,121.10,50.33,19.01,
Afghanistan,AFG,South Asia,Low income,1989,49.05,15.74,,,,,125.10,49.64,18.18,
Afghanistan,AFG,South Asia,Low income,1988,49.24,16.27,,,,,129.20,48.93,17.80,
Afghanistan,AFG,South Asia,Low income,1987,49.42,16.83,,,,,133.30,48.21,17.77,
Afghanistan,AFG,South Asia,Low income,1986,49.59,17.41,,,,,137.50,47.49,17.98,
Afghanistan,AFG,South Asia,Low income,1985,49.74,18.01,,,,,141.60,46.76,18.29,
Afghanistan,AFG,South Asia,Low income,1984,49.87,18.62,,,,,145.70,46.04,18.69,
Afghanistan,AFG,South Asia,Low income,1983,49.98,19.24,,,,,149.80,45.32,19.20,
Afghanistan,AFG,South Asia,Low income,1982,50.10,19.87,,,,,154.10,44.62,19.73,
Afghanistan,AFG,South Asia,Low income,1981,50.21,20.49,,3478790000.00,264.11,,158.40,43.92,20.18,
Afghanistan,AFG,South Asia,Low income,1980,50.32,21.11,,3641720000.00,272.66,,162.70,43.24,20.46,
Afghanistan,AFG,South Asia,Low income,1979,50.44,21.72,,3697940000.00,275.74,,167.00,42.59,20.54,
Afghanistan,AFG,South Asia,Low income,1978,50.56,22.32,,3300000000.00,247.35,,171.20,41.94,20.44,
Afghanistan,AFG,South Asia,Low income,1977,50.68,22.92,,2953330000.00,224.23,,175.40,41.32,20.17,
Afghanistan,AFG,South Asia,Low income,1976,50.80,23.51,,2555560000.00,197.45,,179.30,40.72,19.83,
Afghanistan,AFG,South Asia,Low income,1975,50.93,24.09,,2366670000.00,186.51,,183.20,40.13,19.44,
Afghanistan,AFG,South Asia,Low income,1974,51.06,24.66,,2155560000.00,173.65,,187.20,39.56,19.01,
Afghanistan,AFG,South Asia,Low income,1973,51.18,25.22,,1733330000.00,143.15,,191.00,39.00,18.55,
Afghanistan,AFG,South Asia,Low income,1972,51.30,25.78,,1595560000.00,135.32,,195.00,38.46,18.06,
Afghanistan,AFG,South Asia,Low income,1971,51.41,26.33,,1831110000.00,159.57,,198.80,37.93,17.58,
Afghanistan,AFG,South Asia,Low income,1970,51.50,26.88,,1748890000.00,156.52,,202.60,37.41,17.11,
Afghanistan,AFG,South Asia,Low income,1969,51.57,27.42,,1408890000.00,129.33,,206.30,36.90,16.69,
Afghanistan,AFG,South Asia,Low income,1968,51.62,27.95,,1373330000.00,129.11,,210.10,36.40,16.29,
Afghanistan,AFG,South Asia,Low income,1967,51.65,28.47,,1673330000.00,160.90,,213.90,35.91,15.93,
Afghanistan,AFG,South Asia,Low income,1966,51.65,28.99,,1400000000.00,137.59,,217.70,35.43,15.59,
Afghanistan,AFG,South Asia,Low income,1965,51.63,29.50,,1006670000.00,101.11,,221.40,34.95,15.25,
Afghanistan,AFG,South Asia,Low income,1964,51.59,30.02,,800000000.00,82.10,,225.10,34.46,14.93,
Afghanistan,AFG,South Asia,Low income,1963,51.53,30.55,,751111000.00,78.71,,228.90,33.97,14.62,
Afghanistan,AFG,South Asia,Low income,1962,51.46,31.09,,546667000.00,58.46,,232.60,33.47,14.32,
Afghanistan,AFG,South Asia,Low income,1961,51.37,31.65,,548889000.00,59.86,,236.50,32.96,14.05,
Afghanistan,AFG,South Asia,Low income,1960,51.28,32.22,,537778000.00,59.77,,,32.45,,
Albania,ALB,Europe & Central Asia,Upper middle income,2018,,,,15058900000.00,5253.63,,7.80,,104.61,13.90
Albania,ALB,Europe & Central Asia,Upper middle income,2017,11.93,7.71,,13025100000.00,4532.89,71.85,8.00,78.33,104.87,13.75
Albania,ALB,Europe & Central Asia,Upper middle income,2016,12.08,7.53,,11861400000.00,4124.11,66.36,8.20,78.19,104.97,15.22
Albania,ALB,Europe & Central Asia,Upper middle income,2015,12.20,7.37,,11386900000.00,3952.83,63.25,8.50,78.03,105.14,17.08
Albania,ALB,Europe & Central Asia,Upper middle income,2014,12.26,7.22,2309.37,13228200000.00,4578.67,60.10,8.90,77.81,105.44,17.49
Albania,ALB,Europe & Central Asia,Upper middle income,2013,12.26,7.10,2533.25,12776300000.00,4413.08,57.20,9.50,77.55,105.66,15.87
Albania,ALB,Europe & Central Asia,Upper middle income,2012,12.20,7.00,2118.33,12319800000.00,4247.61,54.66,10.20,77.25,105.85,13.38
Albania,ALB,Europe & Central Asia,Upper middle income,2011,12.10,6.92,2205.70,12890900000.00,4437.18,49.00,11.00,76.91,106.03,13.48
Albania,ALB,Europe & Central Asia,Upper middle income,2010,12.00,6.84,1943.34,11927000000.00,4094.36,45.00,11.90,76.56,106.32,14.09
Albania,ALB,Europe & Central Asia,Upper middle income,2009,11.95,6.76,1835.68,12044200000.00,4114.13,41.20,12.90,76.22,106.84,13.67
Albania,ALB,Europe & Central Asia,Upper middle income,2008,11.97,6.65,1617.74,12881400000.00,4370.54,23.86,13.90,75.91,107.57,13.06
Albania,ALB,Europe & Central Asia,Upper middle income,2007,12.12,6.52,1213.12,10677300000.00,3595.04,15.04,14.90,75.65,108.40,15.97
Albania,ALB,Europe & Central Asia,Upper middle income,2006,12.40,6.37,1218.36,8896070000.00,2972.74,9.61,16.00,75.42,109.22,16.39
